track_index,cluster_memval
9,6:0.10538145899772644 1:0.10530813783407211 8:0.10528454929590225 3:0.10524176061153412 5:0.10507442057132721 7:0.10119055211544037 4:0.09810090810060501 0:0.09526228159666061 9:0.0948229432106018 2:0.08433298021554947
9,6:0.1054142490029335 1:0.10539505630731583 8:0.10538425296545029 3:0.10536160320043564 5:0.10525154322385788 7:0.10167214274406433 4:0.09831023961305618 0:0.09511812031269073 9:0.09466676414012909 2:0.08342602849006653
9,6:0.10585364699363708 1:0.10580635815858841 8:0.10579033195972443 3:0.1057605966925621 5:0.10563790053129196 7:0.10185351222753525 4:0.09839778393507004 0:0.09503388404846191 9:0.09449663013219833 2:0.08136935532093048
9,6:0.10484685748815536 1:0.1047794297337532 8:0.10475613921880722 3:0.10471292585134506 5:0.10453803837299347 7:0.10071747750043869 4:0.09796002507209778 0:0.09556814283132553 9:0.09521481394767761 2:0.08690614998340607
9,6:0.11597967892885208 1:0.11596027761697769 8:0.11595342308282852 3:0.11593957245349884 5:0.11586405336856842 7:0.10675709694623947 4:0.0952305868268013 0:0.08429304510354996 9:0.08268315345048904 2:0.05133910849690437
9,6:0.10479134321212769 1:0.1047152653336525 8:0.10469202697277069 3:0.1046506017446518 5:0.10449322313070297 7:0.10098523646593094 4:0.09825460612773895 0:0.09573183953762054 9:0.09533959627151489 2:0.08634626120328903
9,6:0.10890140384435654 1:0.10873950272798538 8:0.10868584364652634 3:0.10858765244483948 5:0.10820026695728302 7:0.10072644054889679 4:0.09587827324867249 0:0.09178103506565094 9:0.09116260707378387 2:0.07733696699142456
9,6:0.10616453737020493 1:0.10611693561077118 8:0.10610030591487885 3:0.10606926679611206 5:0.1059408187866211 7:0.10206419974565506 4:0.09841318428516388 0:0.0948464646935463 9:0.09427881240844727 2:0.0800054743885994
9,6:0.11611250787973404 1:0.11601736396551132 8:0.11597354710102081 3:0.11588522791862488 5:0.11547570675611496 7:0.103002168238163 4:0.09278533607721329 0:0.08404408395290375 9:0.08282069861888885 2:0.057883370667696
9,6:0.10532091557979584 1:0.10523072630167007 8:0.1052040234208107 3:0.10515695065259933 5:0.10498208552598953 7:0.10118675231933594 4:0.0980951339006424 0:0.09518571197986603 9:0.09474597871303558 2:0.08489172160625458
9,6:0.10805750638246536 1:0.10792895406484604 8:0.10788565129041672 3:0.10780584067106247 5:0.10748579353094101 7:0.10074231028556824 4:0.09622259438037872 0:0.09240980446338654 9:0.09184499830007553 2:0.07961654663085938
9,6:0.10729912668466568 1:0.10719607025384903 8:0.10715969651937485 3:0.10709170252084732 5:0.10681317746639252 7:0.10080359876155853 4:0.09656404703855515 0:0.09298161417245865 9:0.09248373657464981 2:0.08160723745822906
9,6:0.11637747287750244 1:0.11598348617553711 8:0.11586390435695648 3:0.11565182358026505 5:0.11486247926950455 7:0.10086192935705185 4:0.09169881790876389 0:0.08413311094045639 9:0.08304042369127274 2:0.061526551842689514
9,6:0.10619959980249405 1:0.10612495243549347 8:0.10610028356313705 3:0.10605499893426895 5:0.10587287694215775 7:0.10142233222723007 4:0.0979987159371376 0:0.09476090222597122 9:0.09422370791435242 2:0.08124163001775742
9,4:0.11794065684080124 0:0.11743984371423721 9:0.11682669073343277 7:0.11147841066122055 5:0.09180302172899246 3:0.0905919224023819 8:0.09028024971485138 1:0.09010870009660721 6:0.08958032727241516 2:0.08395016938447952
9,6:0.13014915585517883 1:0.12943482398986816 8:0.12920530140399933 3:0.12878966331481934 5:0.12718138098716736 7:0.09771671891212463 4:0.08084559440612793 0:0.0687718316912651 9:0.06718145310878754 2:0.04072408005595207
9,6:0.10645950585603714 1:0.10631471127271652 8:0.10627064853906631 3:0.10619241744279861 5:0.10590045154094696 7:0.10062971711158752 4:0.09704232215881348 0:0.09394572675228119 9:0.09349232912063599 2:0.08375217020511627
