track_index,20cluster_memval
12,11:0.07861442118883133 5:0.07857903838157654 4:0.07853858917951584 0:0.07773616164922714 10:0.07756006717681885 2:0.0770830437541008 8:0.07683585584163666 9:0.07680247724056244 6:0.07627225667238235 3:0.07581256330013275 12:0.07578631490468979 7:0.07572612911462784 1:0.07465307414531708 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07876768708229065 5:0.0787145346403122 4:0.07865547388792038 0:0.07768406718969345 10:0.07749902456998825 2:0.07702340930700302 8:0.07678711414337158 9:0.07675550132989883 6:0.07625123858451843 3:0.07580050826072693 12:0.075774185359478 7:0.07571353763341904 1:0.07457370311021805 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.08150340616703033 5:0.0813751369714737 4:0.0812317356467247 0:0.07879838347434998 10:0.07832720875740051 2:0.07711366564035416 8:0.07651084661483765 9:0.07643038779497147 6:0.07517668604850769 3:0.07411032915115356 12:0.07404972612857819 7:0.07391089200973511 1:0.07146160304546356 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07872160524129868 5:0.07867887616157532 4:0.07863049954175949 0:0.07773517072200775 10:0.07754889130592346 2:0.07705364376306534 8:0.07680052518844604 9:0.07676646113395691 6:0.07623026520013809 3:0.07577068358659744 12:0.07574458420276642 7:0.0756848156452179 1:0.07463399320840836 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07909320294857025 5:0.0790354385972023 4:0.07897062599658966 0:0.07784134149551392 10:0.07761743664741516 2:0.0770341083407402 8:0.07674136757850647 9:0.07670219242572784 6:0.07609010487794876 3:0.07556988298892975 12:0.07554040104150772 7:0.07547292113304138 1:0.07429098337888718 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.0803009569644928 5:0.08022318035364151 4:0.08013488352298737 0:0.07846817374229431 10:0.07811639457941055 2:0.07717913389205933 8:0.07670032232999802 9:0.0766359344124794 6:0.07562153041362762 3:0.07475079596042633 12:0.07470124214887619 7:0.07458770275115967 1:0.0725797563791275 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07916590571403503 5:0.07909434288740158 4:0.07901538908481598 0:0.07778459042310715 10:0.0775604248046875 2:0.0769931972026825 8:0.07671494781970978 9:0.07667791098356247 6:0.07609663158655167 3:0.07559002935886383 12:0.0755608081817627 7:0.07549364119768143 1:0.0742521733045578 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07940598577260971 5:0.07934299856424332 4:0.07927206158638 0:0.07800240814685822 10:0.07774504274129868 2:0.07706928998231888 8:0.07672803848981857 9:0.07668229937553406 6:0.07596666365861893 3:0.0753580704331398 12:0.07532356679439545 7:0.07524457573890686 1:0.07385899871587753 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07932768762111664 5:0.07927829772233963 4:0.0792216956615448 0:0.07808979600667953 10:0.07784195244312286 2:0.0771704688668251 8:0.07682128995656967 9:0.07677396386861801 6:0.0760151669383049 3:0.07534299790859222 12:0.07530417293310165 7:0.07521501183509827 1:0.0735974982380867 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07969366014003754 5:0.07961563766002655 4:0.0795285701751709 0:0.07806165516376495 10:0.07777674496173859 2:0.07704079896211624 8:0.07667399197816849 9:0.07662501186132431 6:0.07586424052715302 3:0.07522059231996536 12:0.07518403977155685 7:0.07510029524564743 1:0.07361476868391037 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
