key,vector
7KXjTSCq5nL1LoYtL7XAwS,8.975641 9.936615 7.407684 -0.13475366 -1.2282724
7BKLCZ1jbUBVqRi2FVlTVw,7.547512 -2.2980177 10.080092 0.21147147 -2.0245678
1xznGGDReH1oQq0xzbwXa3,5.07265 1.3841968 7.549854 -6.759185 -5.078365
6O6M7pJLABmfBRoGZMu76Y,6.1523128 -4.254535 5.7965684 -6.529454 -2.0315964
3a1lNhkSLSkpJE4MSHpDu9,7.6098213 8.189304 5.1843367 -0.6613581 1.6287844
0QsvXIfqM0zZoerQfsI9lm,6.3687024 -3.1504755 6.8396063 -5.1871104 -3.517434
5aAx2yezTd8zXrkmtKl66Z,6.6886463 1.0257816 10.573291 0.96408993 -2.1093185
5hTpBe8h35rJ67eAWHQsJx,5.9864936 4.5659637 8.94755 -1.925433 -2.0117195
5XJJdNPkwmbUwE79gv0NxK,5.1892414 3.8201137 3.4931493 1.0272167 -6.0369544
4Km5HrUvYTaSUfiSGPJeQR,7.931584 7.7708364 7.305292 -0.43256575 -0.35377002
7oK9VyNzrYvRFo7nQEYkWN,3.3362215 0.37457985 1.1054941 2.1333787 -3.2784429
7yyRTcZmCiyzzJlNzGC9Ol,5.4841013 3.5585022 8.334235 -2.6280177 -1.384531
7qiZfU4dY1lWllzX7mPBI3,10.070529 -1.4213768 10.008923 3.327423 3.289875
0SGkqnVQo9KPytSri1H6cF,6.6287336 6.0102644 7.912759 -0.97537535 -0.22611487
0VgkVdmE4gld66l8iyGjgx,5.754013 6.995498 4.2388988 -1.9337463 1.4291145
2EEeOnHehOozLq4aS0n6SL,6.368773 7.7191896 5.355381 -0.83240545 0.32523862
6gBFPUFcJLzWGx4lenP6h2,6.113172 6.078013 5.331148 0.96350217 1.7534329
0XUfyU2QviPAs6bxSpXYG4,6.161463 3.3520753 2.4761488 1.7220643 -6.1328115
5dNfHmqgr128gMY2tc5CeJ,5.6953883 3.2889843 3.3217144 1.995368 -5.872026
0azC730Exh71aQlOt9Zj3y,5.72631 -0.27764204 7.2606635 -5.456663 -4.5746965
6eT7xZZlB2mwyzJ2sUKG6w,4.127552 4.476945 4.7218523 -3.4765549 0.77534497
69bp2EbF7Q2rqc5N3ylezZ,4.0482154 -0.14471357 4.2541575 -6.938013 -4.7881584
0dA2Mk56wEzDgegdC6R17g,8.538324 0.3477103 5.964742 4.927925 2.8415592
0WqIKmW4BTrj3eJFmnCKMv,7.615854 1.0941201 3.1422276 3.3233366 -6.1158094
6JV2JOEocMgcZxYSZelKcc,5.5152287 -1.691473 3.8945577 -6.2720504 -7.918914
6DNtNfH8hXkqOX1sjqmI7p,7.551124 -3.149677 7.8002357 -3.5281143 -0.3510174
7yq4Qj7cqayVTp3FF9CWbm,7.0066404 -5.8510756 0.64196795 0.46836668 -1.7451446
2PpruBYCo4H7WOBJ7Q2EwM,5.4449263 2.658383 3.171228 0.804104 -7.051941
5CtI0qwDJkDQGwXD1H1cLb,2.5992181 2.6333313 5.992756 -1.2575035 -3.5191922
4tCtwWceOPWzenK2HAIJSb,4.1848254 -2.0932083 4.759612 -4.3077507 -5.6174083
6p8NuHm8uCGnn2Dtbtf7zE,9.016523 8.652827 3.8759475 -1.7655331 3.8100991
2d8JP84HNLKhmd6IYOoupQ,3.9075656 1.3380805 6.3580394 -3.5923684 -3.8861089
5OOkp4U9P9oL23maHFHL1h,3.7780483 2.9261284 6.399464 -3.3524916 -3.123716
4WjH9Bzt3kx7z8kl0awxh4,5.4930973 -2.0388262 4.295551 -10.002021 -4.4160223
2KpCpk6HjXXLb7nnXoXA5O,5.0013275 5.0179243 5.3258653 0.5534162 -4.2161207
5Q0Nhxo0l2bP3pNjpGJwV1,5.480505 1.0385733 2.1068742 -0.1072751 -6.5871406
6C7RJEIUDqKkJRZVWdkfkH,5.774423 5.8572283 3.656827 1.946048 -4.1881237
2CPqh63wRVscbceKcPxwvv,5.8622856 -1.4819282 7.83226 -2.0661364 -0.082767874
62vpWI1CHwFy7tMIcSStl8,4.378735 4.927557 4.501961 -5.780413 0.39790538
3kxfsdsCpFgN412fpnW85Y,5.322132 4.539958 2.731017 0.80413264 4.8781834
04DwTuZ2VBdJCCC5TROn7L,6.266622 -1.5862826 8.855281 -2.8455393 0.9723492
5qqabIl2vWzo9ApSC317sa,6.556898 -0.1709309 -4.161254 1.5209194 -1.9200982
6HZILIRieu8S0iqY8kIKhj,7.06292 8.132063 4.5518813 -1.5552975 0.937608
152lZdxL1OR0ZMW6KquMif,6.4366364 5.07189 4.698466 0.8830741 3.209836
7GX5flRQZVHRAGd6B4TmDO,7.384532 8.514925 4.3262496 -0.36479053 1.4064348
1lzr43nnXAijIGYnCT8M8H,5.044298 5.67459 0.39777198 2.9621303 -3.0129325
7hDc8b7IXETo14hHIHdnhd,6.130714 7.198789 3.98334 1.7972833 0.2873652
4w7yrP4RAeeyhfG9nJqQvS,3.4081666 4.793524 4.652599 -3.8788424 -3.3719969
6WhzFzROw3aq3rPWjgYlxr,5.913344 -1.9863644 6.915695 -5.6415668 -2.1538284
3S0OXQeoh0w6AY8WQVckRW,8.04267 -0.31995985 -1.1966997 4.5734816 -2.5934277
17Fd6Yb7mSbinKG8LoWfFl,4.5586658 -1.6502265 4.895053 -6.7988486 -4.2391295
1mqlc0vEP9mU1kZgTi6LIQ,5.3480377 0.7818221 -2.2419312 1.1166731 -4.613817
4pdPtRcBmOSQDlJ3Fk945m,5.543024 -2.222164 7.054868 -1.9395546 0.09439257
6fujklziTHa8uoM5OQSfIo,5.7405434 4.7627373 6.9888783 -1.5708741 -0.59542495
2XMTqoHHSH0lvuXrvIEdco,7.4539742 -2.9420636 7.595802 -4.318441 0.37022477
343YBumqHu19cGoGARUTsd,5.3033814 4.9098263 6.0638275 -3.5891316 0.93777776
4llK75pXNWZz6KAho2Gp16,8.628834 1.1259768 0.39137268 5.8967376 -2.3632078
12qZHAeOyTf93YAWvGDTat,7.081615 0.82417387 -2.834174 3.7112257 -0.9440311
7w87IxuO7BDcJ3YUqCyMTT,6.6203275 -4.589149 1.6830518 1.284302 -4.273703
6ZYS6QQxTLsQ6IFXdVx1r4,7.74796 -6.679902 3.7825112 -2.1170979 -0.09901294
2Z8WuEywRWYTKe1NybPQEW,5.754182 -4.473647 4.3659883 -5.2433853 -0.9048431
70cTMpcgWMcR18t9MRJFjB,8.592683 0.15630555 1.1467998 2.9563005 -6.6709986
0KKkJNfGyhkQ5aFogxQAPU,6.8176837 0.8675776 7.6606092 4.1062245 0.7584194
0v9Wz8o0BT8DU38R4ddjeH,4.8605604 3.9718735 7.484352 -3.2800121 -1.0166864
5KY7zgFeH2GWoL1zP9mME6,4.397298 6.4797635 1.5495833 -0.18353428 -4.4944196
4X5f3vT8MRuXF68pfjNte5,4.849812 6.343513 5.6194963 -1.8890061 -2.2612672
7wGoVu4Dady5GV0Sv4UIsx,6.2010455 6.403024 2.1932456 -1.3599861 4.730711
2jyjhRf6DVbMPU5zxagN2h,6.5754356 -4.877971 0.22507651 0.9191834 1.1400119
1Tt4sE4pXi57mTD1GCzsqm,3.6042535 1.522711 5.6700926 -5.248811 -3.4928167
2gZUPNdnz5Y45eiGxpHGSc,4.347776 5.5979996 3.8738458 -0.09841928 -4.0427155
25khomWgBVamSdKw7hzm3l,3.117292 0.31868577 4.5949216 -3.5883808 -1.7583234
