track,vector
7yyRTcZmCiyzzJlNzGC9Ol,1.574084 1.573797 -1.1317407 1.4559581 -2.9107428
6O6M7pJLABmfBRoGZMu76Y,0.15979594 2.2843826 4.103002 0.8005291 -3.0834975
2KpCpk6HjXXLb7nnXoXA5O,2.446603 4.979887 -1.0151603 1.0421075 -0.4692682
5XzmZjXhMjDHr7ZfJ6DELQ,1.8736951 3.949692 -0.28430286 0.8232152 -1.9577063
17Fd6Yb7mSbinKG8LoWfFl,2.3549128 1.1573629 3.0175304 -1.5130786 -3.662655
69bp2EbF7Q2rqc5N3ylezZ,3.4416335 -1.6025822 3.1018927 -1.0453771 -3.1957262
7BKLCZ1jbUBVqRi2FVlTVw,1.539031 -1.5164852 2.305741 2.0894403 -1.8989469
5aAx2yezTd8zXrkmtKl66Z,2.0705817 0.49397635 1.6445926 -0.6186126 -2.7414846
53QF56cjZA9RTuuMZDrSA6,2.5651324 -0.44419244 -0.7652883 1.584726 -1.0914497
70cTMpcgWMcR18t9MRJFjB,1.9774859 2.0101728 -2.8710234 1.9117208 -1.6224915
5y69gQtK33qxb8a24ACkCy,3.827116 3.2145827 -2.9867773 0.37816623 -1.3618789
0XUfyU2QviPAs6bxSpXYG4,2.346982 1.3640492 -2.102162 1.0364264 -2.2402785
0WqIKmW4BTrj3eJFmnCKMv,2.7395153 2.7544806 -0.9986257 -0.13473281 -0.37959874
7129iqBafaphfc3WPCGC0L,1.0492432 0.9284124 1.7948192 0.38940787 -2.0603979
5XJJdNPkwmbUwE79gv0NxK,2.676164 5.0227594 -0.24630503 -0.030138562 0.23546986
6eT7xZZlB2mwyzJ2sUKG6w,3.855082 1.1583195 2.289772 2.5203629 2.8838677
7yq4Qj7cqayVTp3FF9CWbm,2.6636577 2.5415106 -3.7897475 2.4464774 -1.1807865
1xznGGDReH1oQq0xzbwXa3,1.9577112 0.48447672 1.657877 0.07856876 -2.6491253
2d8JP84HNLKhmd6IYOoupQ,1.9164177 0.3509027 1.1673778 0.93768036 -1.1888014
